nombre	trim	estado	municipio	isla	comunidad
Ses Cadenes	Ses_Cadenes	Localidad	Palma	Mallorca	Illes Balears
Ses Cases Noves	Ses_Cases_Noves	Localidad	Marratxí	Mallorca	Illes Balears
Ses Salines	Ses_Salines	Capital de municipio	Ses Salines	Mallorca	Illes Balears
Ses Salines (Las Salinas)	Ses_Salines-Las_Salinas	Municipio	Ses Salines (Las Salinas)	Mallorca	Illes Balears
S'Esgleieta	S__Esgleieta	Localidad	Esporles	Mallorca	Illes Balears
S'Estany d'en Mas	S__Estany_d__en_Mas	Localidad	Manacor	Mallorca	Illes Balears
S'Estanyol de Migjorn	S__Estanyol_de_Migjorn	Localidad	Llucmajor	Mallorca	Illes Balears
S'Horta	S__Horta	Localidad	Felanitx	Mallorca	Illes Balears
S'Hostalot	S__Hostalot	Localidad	Palma	Mallorca	Illes Balears
S'Illot	S__Illot	Localidad	Sant Llorenç des Cardassar	Mallorca	Illes Balears
S'Illot-Cala Morlanda (L'Illot)	S__Illot-Cala_Morlanda-L__Illot	Localidad	Manacor	Mallorca	Illes Balears
Sineu	Sineu	Capital de municipio	Sineu	Mallorca	Illes Balears
Sinia d'en Riera	Sinia_d__en_Riera	Localidad	Es Castell	Mallorca	Illes Balears
Sol de L'Est	Sol_de_L__Est	Localidad	Es Castell	Mallorca	Illes Balears
Sol de Mallorca	Sol_de_Mallorca	Localidad	Calvià	Mallorca	Illes Balears
Sóller	Soller	Capital de municipio	Sóller	Mallorca	Illes Balears
Son Ametler	Son_Ametler	Localidad	Marratxí	Mallorca	Illes Balears
Son Bessó	Son_Besso	Localidad	Palma	Mallorca	Illes Balears
Son Carrió	Son_Carrio	Localidad	Sant Llorenç des Cardassar	Mallorca	Illes Balears
Son Coll	Son_Coll	Localidad	Banyalbufar	Mallorca	Illes Balears
Son Espanyol	Son_Espanyol	Localidad	Palma	Mallorca	Illes Balears
Son Ferrandell	Son_Ferrandell	Localidad	Valldemossa	Mallorca	Illes Balears
Son Ferrer	Son_Ferrer	Localidad	Calvià	Mallorca	Illes Balears
Son Ferriol	Son_Ferriol	Localidad	Palma	Mallorca	Illes Balears
Son Gual	Son_Gual	Localidad	Palma	Mallorca	Illes Balears
Son Macià	Son_Macia	Localidad	Manacor	Mallorca	Illes Balears
Son Macià-Nova Cabana	Son_Macia-Nova_Cabana	Localidad	Marratxí	Mallorca	Illes Balears
Son Mas	Son_Mas	Localidad	Manacor	Mallorca	Illes Balears
Son Maxella	Son_Maxella	Localidad	Valldemossa	Mallorca	Illes Balears
Son Moger	Son_Moger	Localidad	Santanyí	Mallorca	Illes Balears
Son Moll	Son_Moll	Localidad	Capdepera	Mallorca	Illes Balears
Son Moro	Son_Moro	Localidad	Sant Llorenç des Cardassar	Mallorca	Illes Balears
Son Moro Bonavista	Son_Moro_Bonavista	Localidad	Sant Llorenç des Cardassar	Mallorca	Illes Balears
Son Ramonell	Son_Ramonell	Localidad	Marratxí	Mallorca	Illes Balears
Son Riera	Son_Riera	Localidad	Palma	Mallorca	Illes Balears
Son Roca-Son Ximelis	Son_Roca-Son_Ximelis	Localidad	Palma	Mallorca	Illes Balears
Son Sant Joan	Son_Sant_Joan	Localidad	Palma	Mallorca	Illes Balears
Son Sardina	Son_Sardina	Localidad	Palma	Mallorca	Illes Balears
Son Serra de Marina	Son_Serra_de_Marina	Localidad	Santa Margalida	Mallorca	Illes Balears
Son Serra Perera	Son_Serra_Perera	Localidad	Palma	Mallorca	Illes Balears
Son Serralta	Son_Serralta	Localidad	Puigpunyent	Mallorca	Illes Balears
Son Servera	Son_Servera	Capital de municipio	Son Servera	Mallorca	Illes Balears
Son Talent	Son_Talent	Localidad	Manacor	Mallorca	Illes Balears
Son Verí Nou	Son_Veri_Nou	Localidad	Llucmajor	Mallorca	Illes Balears
Son Vida	Son_Vida	Localidad	Palma	Mallorca	Illes Balears
Son Vilar	Son_Vilar	Localidad	Es Castell	Mallorca	Illes Balears
Tolleric	Tolleric	Localidad	Llucmajor	Mallorca	Illes Balears
Trebalúger	Trebaluger	Localidad	Es Castell	Mallorca	Illes Balears
Urbanització Betlem	Urbanitzacio_Betlem	Localidad	Artà	Mallorca	Illes Balears
Urbanització Montfarrutx	Urbanitzacio_Montfarrutx	Localidad	Artà	Mallorca	Illes Balears
Urbanització Sant Pere	Urbanitzacio_Sant_Pere	Localidad	Artà	Mallorca	Illes Balears
Urbanització s'Estanyol	Urbanitzacio_s__Estanyol	Localidad	Artà	Mallorca	Illes Balears
Valldemossa	Valldemossa	Capital de municipio	Valldemossa	Mallorca	Illes Balears
Vallgornera Nou	Vallgornera_Nou	Localidad	Llucmajor	Mallorca	Illes Balears
Vilafranca de Bonany	Vilafranca_de_Bonany	Capital de municipio	Vilafranca de Bonany	Mallorca	Illes Balears
